TimeStamp	POS_X	POS_Y	POS_Z
3198013616	-35.363257	149.165231	584.09
3198213536	-35.363257	149.165231	584.09
3198413456	-35.363257	149.165231	584.09
3198613376	-35.363257	149.165231	584.09
3198813296	-35.363257	149.165231	584.09
3199013216	-35.363257	149.165231	584.09
3199213969	-35.363257	149.165231	584.09
3199413889	-35.363257	149.165231	584.09
3199613809	-35.363257	149.165231	584.09
3199813729	-35.363257	149.165231	584.09
3200013649	-35.363257	149.165231	584.09
3200213569	-35.363257	149.165231	584.09
3200413489	-35.363257	149.165231	584.09
3200613409	-35.363257	149.165231	584.09
3200813329	-35.363257	149.165231	584.09
3201013249	-35.363257	149.165231	584.09
3201213169	-35.363257	149.165231	584.09
3201413922	-35.363257	149.165231	584.09
3201613842	-35.363257	149.165231	584.09
3201813762	-35.363257	149.165231	584.09
3202013682	-35.363257	149.165231	584.09
3202213602	-35.363257	149.165231	584.09
3202413522	-35.363257	149.165231	584.09
3202613442	-35.363257	149.165231	584.09
3202813362	-35.363257	149.165231	584.09
3203013282	-35.363257	149.165231	584.09
3203213202	-35.363257	149.165231	584.09
3203413955	-35.363257	149.165231	584.09
3203613875	-35.363257	149.165231	584.09
3203813795	-35.363257	149.165231	584.09
3204013715	-35.363257	149.165231	584.09
3204213635	-35.363257	149.165231	584.09
3204413555	-35.363257	149.165231	584.09
3204613475	-35.363257	149.165231	584.09
3204813395	-35.363257	149.165231	584.09
3205013315	-35.363257	149.165231	584.09
3205213235	-35.363257	149.165231	584.09
3205413988	-35.363257	149.165231	584.09
3205613908	-35.363257	149.165231	584.09
3205813828	-35.363257	149.165231	584.09
3206013748	-35.363257	149.165231	584.09
3206213668	-35.363257	149.165231	584.09
3206413588	-35.363257	149.165231	584.09
3206613508	-35.363257	149.165231	584.09
3206813428	-35.363257	149.165231	584.09
3207013348	-35.363257	149.165231	584.09
3207213268	-35.363257	149.165231	584.09
3207413188	-35.363257	149.165231	584.09
3207613941	-35.363257	149.165231	584.09
3207813861	-35.363257	149.165231	584.09
3208013781	-35.363257	149.165231	584.09
3208213701	-35.363257	149.165231	584.09
3208413621	-35.363257	149.165231	584.09
3208613541	-35.363257	149.165231	584.09
3208813461	-35.363257	149.165231	584.09
3209013381	-35.363257	149.165231	584.09
3209213301	-35.363257	149.165231	584.09
3209413221	-35.363257	149.165231	584.09
3209613974	-35.363257	149.165231	584.09
3209813894	-35.363257	149.165231	584.09
3210013814	-35.363257	149.165231	584.09
3210213734	-35.363257	149.165231	584.09
3210413654	-35.363257	149.165231	584.09
3210613574	-35.363257	149.165231	584.09
3210813494	-35.363257	149.165231	584.09
3211013414	-35.363257	149.165231	584.09
3211213334	-35.363257	149.165231	584.09
3211413254	-35.363257	149.165231	584.09
3211613174	-35.363257	149.165231	584.09
3211813927	-35.363257	149.165231	584.09
3212013847	-35.363257	149.165231	584.09
3212213767	-35.363257	149.165231	584.09
3212413687	-35.363257	149.165231	584.09
3212613607	-35.363257	149.165231	584.09
3212813527	-35.363257	149.165231	584.09
3213013447	-35.363257	149.165231	584.09
3213213367	-35.363257	149.165231	584.09
3213413287	-35.363257	149.165231	584.09
3213613207	-35.363257	149.165231	584.09
3213813960	-35.363257	149.165231	584.09
3214013880	-35.363257	149.165231	584.09
3214213800	-35.363257	149.165231	584.09
3214413720	-35.363257	149.165231	584.09
3214613640	-35.363257	149.165231	584.09
3214813560	-35.363257	149.165231	584.09
3215013480	-35.363257	149.165231	584.09
3215213400	-35.363257	149.165231	584.09
3215413320	-35.363257	149.165231	584.09
3215613240	-35.363257	149.165231	584.09
3215813160	-35.363257	149.165231	584.09
3216013913	-35.363257	149.165231	584.09
3216213833	-35.363257	149.165231	584.09
3216413753	-35.363257	149.165231	584.13
3216613673	-35.363257	149.165231	584.21
3216813593	-35.3632571	149.165231	584.38
3217013513	-35.3632573	149.165231	584.66
3217213433	-35.3632575	149.165231	584.96
3217413353	-35.363258	149.1652311	585.27
3217613273	-35.3632583	149.1652311	585.6
3217813193	-35.3632587	149.1652311	585.97
3218013946	-35.3632591	149.1652312	586.35
3218213866	-35.3632592	149.1652312	586.75
3218413786	-35.3632593	149.1652312	587.15
3218613706	-35.3632594	149.1652311	587.57
3218813626	-35.3632594	149.1652311	587.98
3219013546	-35.3632594	149.1652311	588.41
3219213466	-35.3632593	149.1652311	588.84
3219413386	-35.3632592	149.1652311	589.28
3219613306	-35.3632592	149.1652311	589.72
3219813226	-35.3632591	149.165231	590.16
3220013979	-35.3632589	149.165231	590.6
3220213899	-35.3632588	149.165231	591.03
3220413819	-35.3632588	149.165231	591.45
3220613739	-35.3632588	149.165231	591.84
3220813659	-35.3632588	149.165231	592.19
3221013579	-35.3632588	149.165231	592.5
3221213499	-35.3632589	149.165231	592.76
3221413419	-35.3632589	149.1652311	592.96
3221613339	-35.3632591	149.1652311	593.14
3221813259	-35.3632592	149.1652311	593.26
3222013179	-35.3632592	149.1652311	593.34
3222213932	-35.3632592	149.1652311	593.41
3222413852	-35.3632593	149.1652311	593.46
3222613772	-35.3632597	149.1652311	593.48
3222813692	-35.3632603	149.1652311	593.51
3223013612	-35.363261	149.1652311	593.51
3223213532	-35.3632619	149.1652311	593.51
3223413452	-35.3632634	149.1652311	593.48
3223613372	-35.3632652	149.1652311	593.46
3223813292	-35.3632671	149.165231	593.45
3224013212	-35.3632695	149.165231	593.41
3224213965	-35.3632721	149.165231	593.38
3224413885	-35.363275	149.165231	593.33
3224613805	-35.3632783	149.1652311	593.28
3224813725	-35.3632819	149.1652312	593.21
3225013645	-35.3632859	149.1652312	593.14
3225213565	-35.3632901	149.1652312	593.05
3225413485	-35.3632946	149.1652312	592.96
3225613405	-35.3632995	149.1652311	592.86
3225813325	-35.3633048	149.165231	592.77
3226013245	-35.3633104	149.165231	592.65
3226213165	-35.3633163	149.1652307	592.54
3226413918	-35.3633223	149.1652306	592.42
3226613838	-35.3633285	149.1652305	592.32
3226813758	-35.3633351	149.1652303	592.2
3227013678	-35.3633418	149.1652301	592.08
3227213598	-35.3633486	149.1652301	591.96
3227413518	-35.3633554	149.1652299	591.84
3227613438	-35.3633625	149.1652298	591.71
3227813358	-35.3633698	149.1652297	591.6
3228013278	-35.3633769	149.1652296	591.5
3228213198	-35.3633841	149.1652294	591.39
3228413951	-35.3633913	149.1652293	591.28
3228613871	-35.3633985	149.1652292	591.2
3228813791	-35.3634056	149.1652291	591.11
3229013711	-35.3634124	149.1652289	591.04
3229213631	-35.3634192	149.1652288	590.97
3229413551	-35.3634258	149.1652287	590.92
3229613471	-35.3634319	149.1652286	590.88
3229813391	-35.3634379	149.1652284	590.84
3230013311	-35.3634434	149.1652282	590.82
3230213231	-35.3634485	149.1652282	590.79
3230413984	-35.3634531	149.1652281	590.78
3230613904	-35.3634574	149.1652279	590.78
3230813824	-35.363461	149.1652277	590.77
3231013744	-35.3634641	149.1652277	590.76
3231213664	-35.3634665	149.1652275	590.76
