TimeStamp	POS_X	POS_Y	POS_Z
58228366	-35.363261	149.1652299	584.09
58428286	-35.363261	149.1652299	584.09
58628206	-35.363261	149.1652299	584.09
58828959	-35.363261	149.1652299	584.09
59028879	-35.363261	149.1652299	584.09
59228799	-35.363261	149.1652299	584.09
59428719	-35.363261	149.1652299	584.09
59628639	-35.363261	149.1652299	584.09
59828559	-35.363261	149.1652299	584.09
60028479	-35.363261	149.1652299	584.09
60228399	-35.363261	149.1652299	584.09
60428319	-35.363261	149.1652299	584.09
60628239	-35.363261	149.1652299	584.09
60828159	-35.363261	149.1652299	584.09
61028912	-35.363261	149.1652299	584.09
61228832	-35.363261	149.1652299	584.09
61428752	-35.363261	149.1652299	584.09
61628672	-35.363261	149.1652299	584.09
61828592	-35.363261	149.1652299	584.09
62028512	-35.363261	149.1652299	584.09
62228432	-35.363261	149.1652299	584.09
62428352	-35.363261	149.1652299	584.09
62628272	-35.363261	149.1652299	584.09
62828192	-35.363261	149.1652299	584.09
63028945	-35.363261	149.1652299	584.09
63228865	-35.363261	149.1652299	584.09
63428785	-35.363261	149.1652299	584.09
63628705	-35.363261	149.1652299	584.09
63828625	-35.363261	149.1652299	584.09
64028545	-35.363261	149.1652299	584.09
64228465	-35.363261	149.1652299	584.09
64428385	-35.363261	149.1652299	584.09
64628305	-35.363261	149.1652299	584.09
64828225	-35.363261	149.1652299	584.09
65028978	-35.363261	149.1652299	584.09
65228898	-35.363261	149.1652299	584.09
65428818	-35.363261	149.1652299	584.09
65628738	-35.363261	149.1652299	584.09
65828658	-35.363261	149.1652299	584.09
66028578	-35.363261	149.1652299	584.09
66228498	-35.363261	149.1652299	584.1
66428418	-35.363261	149.1652299	584.16
66628338	-35.363261	149.1652299	584.28
66828258	-35.363261	149.1652299	584.54
67028178	-35.363261	149.1652298	584.84
67228931	-35.3632607	149.1652297	585.14
67428851	-35.3632606	149.1652296	585.46
67628771	-35.3632605	149.1652296	585.83
67828691	-35.3632604	149.1652294	586.2
68028611	-35.3632604	149.1652293	586.58
68228531	-35.3632604	149.1652292	586.94
68428451	-35.3632604	149.1652292	587.28
68628371	-35.3632603	149.1652292	587.6
68828291	-35.3632603	149.1652292	587.9
69028211	-35.3632604	149.1652292	588.13
69228964	-35.3632604	149.1652292	588.32
69428884	-35.3632604	149.1652293	588.46
69628804	-35.3632604	149.1652293	588.55
69828724	-35.3632605	149.1652294	588.64
70028644	-35.3632605	149.1652294	588.69
70228564	-35.3632606	149.1652296	588.72
70428484	-35.3632606	149.1652296	588.76
70628404	-35.3632606	149.1652296	588.78
70828324	-35.3632606	149.1652296	588.79
71028244	-35.3632606	149.1652296	588.8
71228164	-35.3632606	149.1652296	588.82
71428917	-35.3632606	149.1652296	588.83
71628837	-35.3632606	149.1652294	588.83
71828757	-35.3632606	149.1652294	588.84
72028677	-35.3632605	149.1652294	588.84
72228597	-35.3632605	149.1652293	588.84
72428517	-35.3632605	149.1652293	588.84
72628437	-35.3632605	149.1652293	588.84
72828357	-35.3632605	149.1652293	588.84
73028277	-35.3632605	149.1652292	588.84
73228197	-35.3632605	149.1652292	588.84
73428950	-35.3632605	149.1652292	588.84
73628870	-35.3632605	149.1652292	588.84
73828790	-35.3632604	149.1652292	588.84
74028710	-35.3632604	149.1652293	588.84
74228630	-35.3632604	149.1652293	588.84
74428550	-35.3632604	149.1652293	588.84
74628470	-35.3632604	149.1652294	588.84
74828390	-35.3632604	149.1652294	588.84
75028310	-35.3632604	149.1652294	588.84
75228230	-35.3632604	149.1652294	588.84
75428983	-35.3632605	149.1652294	588.84
75628903	-35.3632605	149.1652294	588.84
75828823	-35.3632605	149.1652296	588.84
76028743	-35.3632605	149.1652296	588.84
76228663	-35.3632605	149.1652296	588.84
76428583	-35.3632605	149.1652296	588.84
76628503	-35.3632605	149.1652296	588.84
76828423	-35.3632605	149.1652296	588.84
77028343	-35.3632605	149.1652296	588.84
77228263	-35.3632605	149.1652296	588.84
77428183	-35.3632605	149.1652296	588.84
77628936	-35.3632605	149.1652296	588.84
77828856	-35.3632605	149.1652294	588.84
78028776	-35.3632606	149.1652294	588.84
78228696	-35.3632606	149.1652294	588.84
78428616	-35.3632606	149.1652294	588.84
78628536	-35.3632606	149.1652294	588.84
78828456	-35.3632606	149.1652294	588.84
79028376	-35.3632606	149.1652293	588.84
79228296	-35.3632606	149.1652293	588.84
79428216	-35.3632606	149.1652293	588.84
79628969	-35.3632606	149.1652293	588.84
79828889	-35.3632606	149.1652293	588.84
80028809	-35.3632606	149.1652293	588.84
80228729	-35.3632605	149.1652294	588.84
80428649	-35.3632605	149.1652294	588.84
80628569	-35.3632605	149.1652294	588.84
80828489	-35.3632605	149.1652294	588.84
81028409	-35.3632605	149.1652296	588.84
81228329	-35.3632605	149.1652296	588.84
81428249	-35.3632605	149.1652296	588.84
81628169	-35.3632605	149.1652296	588.84
81828922	-35.3632605	149.1652296	588.84
