TimeStamp	POS_X	POS_Y	POS_Z
2514013992	-35.3632595	149.1652305	584.09
2514213912	-35.3632595	149.1652305	584.09
2514413832	-35.3632595	149.1652305	584.09
2514613752	-35.3632595	149.1652305	584.09
2514813672	-35.3632595	149.1652305	584.09
2515013592	-35.3632595	149.1652305	584.09
2515213512	-35.3632595	149.1652305	584.09
2515413432	-35.3632595	149.1652305	584.09
2515613352	-35.3632595	149.1652305	584.09
2515813272	-35.3632595	149.1652305	584.09
2516013192	-35.3632595	149.1652305	584.09
2516213945	-35.3632595	149.1652305	584.09
2516413865	-35.3632595	149.1652305	584.09
2516613785	-35.3632595	149.1652305	584.09
2516813705	-35.3632595	149.1652305	584.09
2517013625	-35.3632595	149.1652305	584.09
2517213545	-35.3632595	149.1652305	584.09
2517413465	-35.3632595	149.1652305	584.09
2517613385	-35.3632595	149.1652305	584.09
2517813305	-35.3632595	149.1652305	584.09
2518013225	-35.3632595	149.1652305	584.09
2518213978	-35.3632595	149.1652305	584.09
2518413898	-35.3632595	149.1652305	584.09
2518613818	-35.3632595	149.1652305	584.09
2518813738	-35.3632595	149.1652305	584.09
2519013658	-35.3632595	149.1652305	584.09
2519213578	-35.3632595	149.1652305	584.09
2519413498	-35.3632595	149.1652305	584.09
2519613418	-35.3632595	149.1652305	584.09
2519813338	-35.3632595	149.1652305	584.09
2520013258	-35.3632595	149.1652305	584.09
2520213178	-35.3632595	149.1652305	584.09
2520413931	-35.3632595	149.1652305	584.09
2520613851	-35.3632595	149.1652305	584.09
2520813771	-35.3632595	149.1652305	584.09
2521013691	-35.3632595	149.1652305	584.09
2521213611	-35.3632595	149.1652305	584.09
2521413531	-35.3632595	149.1652305	584.09
2521613451	-35.3632595	149.1652305	584.09
2521813371	-35.3632595	149.1652305	584.11
2522013291	-35.3632595	149.1652305	584.15
2522213211	-35.3632595	149.1652305	584.21
2522413964	-35.3632595	149.1652305	584.38
2522613884	-35.3632595	149.1652303	584.54
2522813804	-35.3632595	149.1652303	584.65
2523013724	-35.3632595	149.1652303	584.72
2523213644	-35.3632595	149.1652303	584.79
2523413564	-35.3632595	149.1652303	584.84
2523613484	-35.3632595	149.1652303	584.89
2523813404	-35.3632594	149.1652303	584.92
2524013324	-35.3632594	149.1652303	584.95
2524213244	-35.3632594	149.1652303	584.97
2524413164	-35.3632594	149.1652303	585.0
2524613917	-35.3632594	149.1652303	585.01
2524813837	-35.3632594	149.1652303	585.02
2525013757	-35.3632594	149.1652303	585.03
2525213677	-35.3632594	149.1652303	585.03
2525413597	-35.3632594	149.1652303	585.03
2525613517	-35.3632594	149.1652303	585.03
2525813437	-35.3632594	149.1652303	585.04
2526013357	-35.3632594	149.1652303	585.04
2526213277	-35.3632594	149.1652303	585.04
2526413197	-35.3632594	149.1652303	585.04
2526613950	-35.3632594	149.1652303	585.04
2526813870	-35.3632594	149.1652305	585.04
2527013790	-35.3632594	149.1652305	585.04
2527213710	-35.3632594	149.1652305	585.04
2527413630	-35.3632593	149.1652305	585.04
2527613550	-35.3632593	149.1652305	585.04
2527813470	-35.3632593	149.1652305	585.04
2528013390	-35.3632593	149.1652305	585.05
2528213310	-35.3632593	149.1652305	585.05
2528413230	-35.3632594	149.1652305	585.05
2528613983	-35.3632594	149.1652305	585.05
2528813903	-35.3632594	149.1652305	585.05
2529013823	-35.3632594	149.1652305	585.05
2529213743	-35.3632594	149.1652305	585.04
2529413663	-35.3632594	149.1652305	585.04
2529613583	-35.3632594	149.1652303	585.04
2529813503	-35.3632594	149.1652303	585.04
2530013423	-35.3632594	149.1652303	585.04
2530213343	-35.3632594	149.1652303	585.04
2530413263	-35.3632594	149.1652303	585.04
2530613183	-35.3632594	149.1652303	585.04
2530813936	-35.3632594	149.1652303	585.04
2531013856	-35.3632594	149.1652303	585.04
2531213776	-35.3632594	149.1652303	585.04
2531413696	-35.3632594	149.1652303	585.04
2531613616	-35.3632594	149.1652303	585.04
2531813536	-35.3632593	149.1652303	585.04
2532013456	-35.3632593	149.1652303	585.04
2532213376	-35.3632593	149.1652303	585.04
2532413296	-35.3632593	149.1652305	585.04
2532613216	-35.3632593	149.1652305	585.04
2532813969	-35.3632593	149.1652305	585.04
2533013889	-35.3632593	149.1652305	585.03
2533213809	-35.3632593	149.1652305	585.03
2533413729	-35.3632593	149.1652305	585.03
2533613649	-35.3632593	149.1652305	585.03
2533813569	-35.3632593	149.1652305	585.03
2534013489	-35.3632593	149.1652305	585.03
2534213409	-35.3632593	149.1652305	585.03
2534413329	-35.3632593	149.1652305	585.03
2534613249	-35.3632593	149.1652305	585.03
2534813169	-35.3632593	149.1652305	585.03
2535013922	-35.3632593	149.1652305	585.04
2535213842	-35.3632593	149.1652306	585.05
